what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1555889624549
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1555889624622
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1555889624737
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1555889624743
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1555889624745
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1555889624812
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1555889624862
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1555889624942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889626315
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1555889628718
error,log,,,"The project description file (.project) for 'SimpleGame' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1555889632408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889632671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889634544
error,log,,,"The project description file (.project) for 'SimpleGame-robovm' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1555889636915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889637201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889639009
error,log,,,"The project description file (.project) for 'snake-desktop' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1555889640461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889640746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889642557
error,log,,,"The project description file (.project) for 'snake-android' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1555889644107
